image_name,block_size,max_shift_value,artifact_percentage,horizontal,start_from_top_or_left
test_0001.jpg,12,8,0.5155864943201947,True,False
test_0001.jpg,35,19,0.135192742026228,True,True
test_0001.jpg,48,8,0.18934316842960625,False,False
test_0001.jpg,15,5,0.6772102314574284,False,False
test_0001.jpg,45,16,0.5203460545740501,True,True
test_0002.jpg,38,12,0.6550851380405492,False,True
test_0002.jpg,16,20,0.19938149429415652,True,True
test_0002.jpg,32,14,0.670491868215919,False,False
test_0002.jpg,11,6,0.6583465816710281,False,True
test_0002.jpg,29,8,0.5745762437107846,False,False
test_0003.jpg,39,11,0.5521829076218175,True,False
test_0003.jpg,43,17,0.24840076734299732,False,True
test_0003.jpg,27,16,0.16824269883725776,True,True
test_0003.jpg,19,11,0.23637547565724654,False,False
test_0003.jpg,16,11,0.35795901462241764,False,True
test_0004.jpg,46,6,0.2836218788035165,True,False
test_0004.jpg,20,7,0.500871373105909,False,True
test_0004.jpg,12,15,0.42803175964647655,False,False
test_0004.jpg,26,12,0.3343852436961853,False,True
test_0004.jpg,44,20,0.5433872113266986,False,True
test_0005.jpg,47,17,0.11022759643169842,True,True
test_0005.jpg,21,5,0.29208055428213,False,True
test_0005.jpg,13,19,0.6002230741955689,False,True
test_0005.jpg,41,6,0.11084186394342388,False,False
test_0005.jpg,39,14,0.6377671273959282,False,True
test_0006.jpg,16,20,0.37492821217266026,True,True
test_0006.jpg,30,18,0.5097921046622556,False,False
test_0006.jpg,26,17,0.49945212903282266,True,False
test_0006.jpg,50,18,0.3558212206176742,False,False
test_0006.jpg,18,6,0.52075812138096,False,False
test_0007.jpg,48,5,0.38865739553921697,False,False
test_0007.jpg,24,8,0.6572495939006853,True,False
test_0007.jpg,50,18,0.26075552966825555,True,True
test_0007.jpg,40,15,0.5220626153139564,True,False
test_0007.jpg,17,9,0.35807892881776193,False,True
test_0008.jpg,24,18,0.29164621143670727,True,True
test_0008.jpg,23,5,0.33438664269242224,False,True
test_0008.jpg,31,20,0.14420918212783054,False,True
test_0008.jpg,37,11,0.5284272128084908,True,False
test_0008.jpg,36,17,0.46983100438956504,False,True
test_0009.jpg,41,8,0.6812281179208698,True,False
test_0009.jpg,20,16,0.10764317828769845,True,False
test_0009.jpg,29,19,0.518862509211713,False,True
test_0009.jpg,43,6,0.5558480490279126,False,False
test_0009.jpg,17,15,0.3317387127372827,True,False
test_0010.jpg,27,16,0.2321354311852291,True,True
test_0010.jpg,41,12,0.5543701443171469,True,True
test_0010.jpg,19,5,0.3443346414197199,False,True
test_0010.jpg,29,15,0.3874491473363053,False,False
test_0010.jpg,41,11,0.48370247702026525,True,True
test_0011.jpg,14,5,0.35148026184438974,True,True
test_0011.jpg,34,18,0.42809110993763044,False,True
test_0011.jpg,32,9,0.5136681073252788,True,True
test_0011.jpg,31,15,0.2331976903643434,True,False
test_0011.jpg,42,13,0.2497031449976283,False,True
